Country,Category,Keyword,Count,Total_jobs,Frequency
France,Programming Languages/Software,sql,461,1363,33.82
France,Programming Languages/Software,c++,449,1363,32.94
France,Programming Languages/Software,python,392,1363,28.76
France,Programming Languages/Software,excel,356,1363,26.12
France,BI Tools,power bi,317,1363,23.26
France,BI Tools,tableau,306,1363,22.45
France,Programming Languages/Software,r,191,1363,14.01
France,Cloud Computing,azure,110,1363,8.07
France,Cloud Computing,aws,98,1363,7.19
France,Collaboration Tools,jira,92,1363,6.75
France,BI Tools,sap,74,1363,5.43
France,Cloud Computing,gcp,73,1363,5.36
France,Big Data Technologies,spark,67,1363,4.92
France,Programming Languages/Software,go,62,1363,4.55
France,Programming Languages/Software,java,62,1363,4.55
France,Collaboration Tools,notion,57,1363,4.18
France,Big Data Technologies,snowflake,54,1363,3.96
France,Collaboration Tools,confluence,54,1363,3.96
France,Version Control,git,53,1363,3.89
France,Big Data Technologies,bigquery,51,1363,3.74
France,DBMS,oracle,45,1363,3.3
France,Workflow Management,airflow,44,1363,3.23
France,Data Science Platforms,dataiku,40,1363,2.93
France,Development Tools,docker,39,1363,2.86
France,BI Tools,looker,37,1363,2.71
France,BI Tools,qlik,35,1363,2.57
France,Cloud Computing,google cloud,34,1363,2.49
France,Programming Languages/Software,javascript,33,1363,2.42
France,Big Data Technologies,redshift,31,1363,2.27
France,DBMS,postgresql,31,1363,2.27
France,Data Science Platforms,alteryx,30,1363,2.2
France,Data Science Platforms,databricks,30,1363,2.2
France,ML and Statistical Modeling,tensorflow,29,1363,2.13
France,Containerization/Orchestration,kubernetes,28,1363,2.05
France,ML and Statistical Modeling,pytorch,28,1363,2.05
France,Programming Languages/Software,scala,27,1363,1.98
France,Big Data Technologies,hadoop,24,1363,1.76
France,Big Data Technologies,kafka,24,1363,1.76
France,Data Science Platforms,talend,24,1363,1.76
France,Version Control,gitlab,24,1363,1.76
France,ML and Statistical Modeling,scikit-learn,23,1363,1.69
France,Version Control,github,20,1363,1.47
France,BI Tools,metabase,16,1363,1.17
France,DBMS,mysql,14,1363,1.03
France,Data Science Platforms,informatica,14,1363,1.03
France,BI Tools,looker studio,13,1363,0.95
France,DBMS,mongodb,13,1363,0.95
France,Big Data Technologies,hive,12,1363,0.88
France,Programming Languages/Software,php,9,1363,0.66
France,Programming Languages/Software,swift,9,1363,0.66
France,Programming Languages/Software,typescript,8,1363,0.59
France,ML and Statistical Modeling,xgboost,7,1363,0.51
France,Programming Languages/Software,sas,7,1363,0.51
France,ML and Statistical Modeling,sagemaker,6,1363,0.44
France,BI Tools,superset,5,1363,0.37
France,Development Tools,jupyter,5,1363,0.37
France,Programming Languages/Software,bash,5,1363,0.37
France,Collaboration Tools,slack,4,1363,0.29
France,Data Science Platforms,mlflow,4,1363,0.29
France,Programming Languages/Software,matlab,4,1363,0.29
France,Big Data Technologies,hdfs,3,1363,0.22
France,Big Data Technologies,storm,3,1363,0.22
France,Collaboration Tools,asana,3,1363,0.22
France,Collaboration Tools,trello,3,1363,0.22
France,DBMS,firebase,3,1363,0.22
France,Data Visualization Tools,d3.js,3,1363,0.22
France,Data Visualization Tools,plotly,3,1363,0.22
France,ML and Statistical Modeling,lightgbm,3,1363,0.22
France,Programming Languages/Software,julia,3,1363,0.22
France,DBMS,db2,2,1363,0.15
France,Data Science Platforms,knime,2,1363,0.15
France,Data Visualization Tools,matplotlib,2,1363,0.15
France,Data Visualization Tools,seaborn,2,1363,0.15
France,Version Control,bitbucket,2,1363,0.15
France,Big Data Technologies,apache nifi,1,1363,0.07
France,Big Data Technologies,flink,1,1363,0.07
France,Cloud Computing,heroku,1,1363,0.07
France,Cloud Computing,ibm cloud,1,1363,0.07
France,Cloud Computing,oracle cloud,1,1363,0.07
France,DBMS,cassandra,1,1363,0.07
France,DBMS,couchdb,1,1363,0.07
France,DBMS,mariadb,1,1363,0.07
France,DBMS,neo4j,1,1363,0.07
France,DBMS,redis,1,1363,0.07
France,Data Science Platforms,datarobot,1,1363,0.07
France,Development Tools,eclipse,1,1363,0.07
France,Development Tools,vscode,1,1363,0.07
France,ML and Statistical Modeling,vertex ai,1,1363,0.07
France,Programming Languages/Software,kotlin,1,1363,0.07
France,Programming Languages/Software,ruby,1,1363,0.07
Italy,Programming Languages/Software,python,207,566,36.57
Italy,Programming Languages/Software,excel,201,566,35.51
Italy,Programming Languages/Software,sql,182,566,32.16
Italy,Data Science Platforms,informatica,132,566,23.32
