Category,Keyword,Search Keyword,Country,Count
BI Tools,power bi,BI Analyst,France,254
Programming Languages/Software,python,Data Scientist,USA,176
Programming Languages/Software,sql,BI Analyst,France,167
BI Tools,tableau,BI Analyst,France,161
Programming Languages/Software,excel,BI Analyst,France,135
Programming Languages/Software,sql,BI Analyst,USA,133
Programming Languages/Software,c++,Product Analyst,France,130
Programming Languages/Software,c++,BI Analyst,France,127
Programming Languages/Software,python,Data Scientist,Italy,123
Programming Languages/Software,python,BI Analyst,France,120
Programming Languages/Software,python,Data Scientist,France,120
Programming Languages/Software,c++,Data Analyst,France,120
Programming Languages/Software,excel,Data Analyst,USA,115
Programming Languages/Software,excel,BI Analyst,USA,113
Programming Languages/Software,excel,Data Analyst,Italy,111
Programming Languages/Software,sql,Product Analyst,France,108
Programming Languages/Software,sql,Data Scientist,USA,107
Programming Languages/Software,sql,Data Analyst,France,99
Programming Languages/Software,excel,Product Analyst,France,98
Programming Languages/Software,python,Product Analyst,France,89
Programming Languages/Software,sql,Data Scientist,France,87
Programming Languages/Software,excel,Data Analyst,France,86
Programming Languages/Software,sql,Data Analyst,USA,82
Programming Languages/Software,python,BI Analyst,USA,80
BI Tools,tableau,Data Analyst,France,79
Programming Languages/Software,c++,Data Scientist,France,72
Programming Languages/Software,r,Data Scientist,USA,69
Programming Languages/Software,sql,Data Scientist,Italy,69
BI Tools,power bi,BI Analyst,Italy,68
Cloud Computing,aws,Data Scientist,USA,67
Data Science Platforms,informatica,Data Scientist,Italy,66
ML and Statistical Modeling,pytorch,Data Scientist,USA,64
Programming Languages/Software,python,Data Analyst,France,63
BI Tools,tableau,BI Analyst,USA,61
BI Tools,tableau,Data Analyst,USA,58
ML and Statistical Modeling,tensorflow,Data Scientist,USA,57
Programming Languages/Software,r,Data Scientist,France,56
Collaboration Tools,jira,Product Analyst,France,55
Programming Languages/Software,sql,Data Analyst,Italy,55
Programming Languages/Software,r,BI Analyst,France,54
Cloud Computing,azure,Data Scientist,USA,53
BI Tools,power bi,BI Analyst,USA,51
Programming Languages/Software,python,Data Scientist,Sweden,50
Programming Languages/Software,sql,BI Analyst,Italy,49
Cloud Computing,azure,BI Analyst,France,48
Programming Languages/Software,excel,BI Analyst,Italy,48
Programming Languages/Software,sql,Data Scientist,Sweden,46
Cloud Computing,aws,Data Scientist,Italy,46
Programming Languages/Software,r,Data Scientist,Italy,46
Programming Languages/Software,r,Product Analyst,France,46
Programming Languages/Software,python,Data Analyst,USA,44
Programming Languages/Software,r,Data Analyst,Italy,44
BI Tools,tableau,Data Scientist,France,43
Programming Languages/Software,c++,Data Scientist,USA,43
Programming Languages/Software,r,BI Analyst,USA,43
Programming Languages/Software,python,Data Analyst,Italy,42
Programming Languages/Software,c++,Data Scientist,Sweden,41
Big Data Technologies,spark,Data Scientist,USA,41
Big Data Technologies,spark,Data Scientist,Italy,41
Programming Languages/Software,go,Product Analyst,France,40
Programming Languages/Software,go,BI Analyst,USA,40
Programming Languages/Software,java,Data Scientist,USA,40
Programming Languages/Software,scala,Data Scientist,Italy,39
Programming Languages/Software,go,Data Scientist,USA,37
Cloud Computing,azure,Data Scientist,Italy,37
Cloud Computing,aws,Product Analyst,France,37
Programming Languages/Software,excel,Data Scientist,France,37
BI Tools,sap,BI Analyst,France,37
Programming Languages/Software,r,Data Analyst,USA,36
Programming Languages/Software,r,Data Analyst,France,35
Cloud Computing,gcp,Data Scientist,USA,35
Programming Languages/Software,java,Data Scientist,Sweden,35
Collaboration Tools,confluence,Product Analyst,France,34
ML and Statistical Modeling,tensorflow,Data Scientist,Italy,34
Data Science Platforms,informatica,Data Analyst,Italy,34
BI Tools,power bi,BI Analyst,Sweden,34
Programming Languages/Software,python,BI Analyst,Italy,33
Cloud Computing,azure,Data Scientist,Sweden,33
Cloud Computing,aws,BI Analyst,France,33
Cloud Computing,aws,BI Analyst,USA,32
Programming Languages/Software,java,Product Analyst,France,32
