job_link,job_title,company_name,company_location,salary,job_type,job_description,searched_job,searched_location
https://www.indeed.com/rc/clk?jk=82e4efce6644cdc7&bb=seqLLdi-Bx2JVHqn4rt8NFtTXIQsVnTaF5BpCQp-5KSZfuMafYnmyZKBXKvnSeq2ZMVlmudkpY1TD_nHXsLUxzU_4Kqitpyn8TZvRyjw-F_8BrjtPdWpwB0qFYoaaQB7&xkcb=SoBX67M37E24nU3qa50LbzkdCdPP&fccid=13920672d471a7d1&vjs=3,Product Data Scientist,Propel,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=be8ea87cdf172e4a&bb=seqLLdi-Bx2JVHqn4rt8NPloo9uMupVF9dT2yrtpc5jgmtkrRYB3xQZs0jb0KHUX4gXg-5lbWT6GQSjiankrcVWSAr_z6QFps7CBygeRE9qZNiFOoV1Y_A%3D%3D&xkcb=SoDj67M37E24nU3qa50KbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3,"Data Scientist Manager II, Research",Google,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=99eba59d82a9848e&bb=seqLLdi-Bx2JVHqn4rt8NLYkhTyiNHx_9SzelJPK6Ofs8IZpj3hLe86Wo6uEbyLKmHdNOSFiD8xFbmVlE_AlEhSQ9_EKT7Vn2f9SM3soKRbUYd8tseCAwEmAKRN2fLKz&xkcb=SoB-67M37E24nU3qa50JbzkdCdPP&fccid=7d7b563c6a3a9653&vjs=3,Data Scientist – Workers’ Rights - 679732,CONSUMER AND WORKER PROTECTION,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=d1b96df5f19292fd&bb=seqLLdi-Bx2JVHqn4rt8NDvThOWce2hTR16W1fuOyZMXGIBJSYPvdyTiLgYBeljYOAcN6bET8X9XWaNYTgKhv60QGw0gdGm0tVe188lqw-GXz9MpTs7D0w%3D%3D&xkcb=SoDK67M37E24nU3qa50IbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3,"Data Scientist, Cloud Planning and Profitability",Google,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=0d47ada5c09e40f9&bb=seqLLdi-Bx2JVHqn4rt8NLq4l2-ldkgMwBkElylo_98YSm4soQtXbCgsQ-DtWgI6afY1ac0D2tVE14ONAd1RczdRj3R4hL-lm0K_3SebGI0T0TGLfsCjlw%3D%3D&xkcb=SoBE67M37E24nU3qa50PbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3,Member of Technical Staff - Data Scientist,Microsoft,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=5947e369ab469f87&bb=seqLLdi-Bx2JVHqn4rt8NHL8Les16OIlD2zkL_NLFpanx60fBOpQtkwAIXDQj0FASuFsAsCwhaOMiMKzikltExdQ8YakbedhB-W8_VlwZ2UhyvH4ublnnlInJLqCCQxz&xkcb=SoDw67M37E24nU3qa50ObzkdCdPP&fccid=06bff29399a4f5bb&vjs=3,Data Scientist II - Commercial Analytics,Cedar Inc,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=165f35e2a05b9075&bb=seqLLdi-Bx2JVHqn4rt8NIK49N4mpHizHAF5U7uio9SGgrwrykNyKiG9N6u1DsG-bnHn-ccqk0NbeDItEn4rkzqeBujPhJ2aB5Phh0KVfI7clsyV_PLMCQ%3D%3D&xkcb=SoBt67M37E24nU3qa50NbzkdCdPP&fccid=d9162e48c444e6e3&vjs=3,Data Scientist,Colgate-Palmolive,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=dc3122ee92633a65&bb=seqLLdi-Bx2JVHqn4rt8NP8iY64-0aSc5qfzNBq4LxpJUvSlFenFNI-0JvIp-WYPx6drt9gNNi4rIbJf_2GxqbM1Df7-wYEgFKdVZBT2iVrCiUSWp5pGvw%3D%3D&xkcb=SoDZ67M37E24nU3qa50MbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,"Data Scientist, CreST",Amazon.com Services LLC,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=a1d27e9adc121bae&bb=seqLLdi-Bx2JVHqn4rt8NE-cp2IXcN4sYJS8YuL5dR_GlnIsLEr4BW2qZ2W8tCJcvsM3SoHydrepzlwzVdsL6SUg4ULriDAG5y3a3OIMhleOLSOU7oEvaw%3D%3D&xkcb=SoAw67M37E24nU3qa50DbzkdCdPP&fccid=2525cc4a9a704809&vjs=3,"Senior Machine Learning Scientist, LLMs for Chemistry",Genentech,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=72aeef5ff8ec1f8c&bb=seqLLdi-Bx2JVHqn4rt8NMQ8Pu0i_g1Atq7bewZ2nJBVvZ-XNYmul1Ml_6peEIpBGkeORAB2b51PfQ5FDwt6O7Jh9qudY4WIB5tHi2VlWFE1L2ZFfETWNg%3D%3D&xkcb=SoCE67M37E24nU3qa50CbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3,Business and Marketing Data Scientist II,Google,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=2baab3a6e1f0038f&bb=seqLLdi-Bx2JVHqn4rt8ND7X-jhTo3Ouc2YJAufU4tYF2bK1w3MoAO4KqOmBLbeyZPGt588_Zf-QUd82h_QMup9i8Q_KH3DgaaWiYxnhusJzMkqB6nfzGiRz462SbTuG&xkcb=SoAZ67M37E24nU3qa50BbzkdCdPP&fccid=92278e592a11e3a5&vjs=3,Data Scientist II,University of Rochester,Not available,Not available,Not available,Not available, Data+Scientist,New+York
https://www.indeed.com/rc/clk?jk=1e01be32ee06a2f3&bb=seqLLdi-Bx2JVHqn4rt8NHpVokZbtVoIQH4oM7aJQOBNGbSguAzpxqN_nxMRkYXSxXUh2iv-GwLNGyzdYWtWgKKnQ8HTe74dpHxHcy9tFzDBD74L8lHAqUPo-Ng0TwZy&xkcb=SoCt67M37E24nU3qa50AbzkdCdPP&fccid=38275e08b2d0f536&vjs=3,Senior Data Scientist,Canoe Intelligence,Not available,Not available,Not available,Not available, Data+Scientist,New+York
